Product Name,Product Url,Prices,Rating,Number of Review
"Infinix HOT 30i (Diamond White, 128 GB)",https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK29ZWFHGGD.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹8,999",4.3,"2,661"
"Infinix HOT 30i (Marigold, 128 GB)",https://www.flipkart.com/infinix-hot-30i-marigold-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2GNWPUGWW&lid=LSTMOBGNPK2GNWPUGWWWTPN01&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK2GNWPUGWW.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹8,999",4.3,"2,661"
"Infinix SMART 7 (Night Black, 64 GB)",https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB9VAZZSU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400"
"Infinix HOT 30i (Marigold, 64 GB)",https://www.flipkart.com/infinix-hot-30i-marigold-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2KCH77U28&lid=LSTMOBGNPK2KCH77U289VSAZE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK2KCH77U28.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,999",4.3,573
"Infinix HOT 30i (Diamond White, 64 GB)",https://www.flipkart.com/infinix-hot-30i-diamond-white-64-gb/p/itm8b42a43b35895?pid=MOBGNPK4PTXGANTP&lid=LSTMOBGNPK4PTXGANTPXFOPAU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK4PTXGANTP.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,999",4.3,573
"vivo T2x 5G (Aurora Gold, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSI1GIZR&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹13,999",4.4,"4,099"
"vivo T2x 5G (Glimmer Black, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹15,999",4.3,"1,053"
"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNRCJ28C&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹13,999",4.4,"4,099"
"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹15,999",4.3,"1,053"
"vivo T2x 5G (Aurora Gold, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXKM9M4E&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹15,999",4.3,"1,053"
"vivo T2x 5G (Glimmer Black, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPKCQWJ4&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹13,999",4.4,"4,099"
"vivo T2x 5G (Glimmer Black, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWSIG1N1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹12,999",4.4,"2,072"
"vivo T2x 5G (Aurora Gold, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHXWZGSH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹12,999",4.4,"2,072"
"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹12,999",4.4,"2,072"
